YYYY-MM-DD;N1;N2;N3;N4;N5;E1;E2
2020-01-03;07;10;25;39;42;03;06
2020-01-10;06;09;22;25;33;03;05
2020-01-17;05;07;20;30;34;02;05
2020-01-24;14;19;25;31;46;06;07
2020-01-31;08;22;29;34;44;01;05
2020-02-07;02;11;22;35;41;01;09
2020-02-14;04;11;12;25;34;03;08
2020-02-21;11;14;38;41;46;01;07
2020-02-28;05;11;20;32;33;01;02
2020-03-06;02;10;29;33;40;02;09
2020-03-13;10;17;32;40;48;02;07
2020-03-20;12;23;29;35;42;05;09
2020-03-27;05;08;14;19;39;04;08
2020-04-03;11;16;38;44;46;01;09
2020-04-10;04;18;23;30;41;02;03
2020-04-17;09;11;19;34;37;03;08
2020-04-24;01;05;06;15;30;02;08
2020-05-01;07;12;23;27;33;02;06
2020-05-08;03;18;31;40;48;02;03
2020-05-15;04;09;25;35;38;03;09
2020-05-22;14;21;24;33;48;01;05
2020-05-29;05;12;16;25;37;04;10
2020-06-05;03;13;29;34;49;01;03
2020-06-12;06;15;24;27;48;05;09
2020-06-19;02;09;21;26;37;03;10
2020-06-26;09;10;20;32;36;03;07
2020-07-03;01;04;13;20;37;02;10
2020-07-10;05;11;24;35;38;02;10
2020-07-17;07;21;33;37;41;05;08
2020-07-24;10;13;22;37;42;03;06
2020-07-31;10;14;22;29;35;01;05
2020-08-07;02;16;26;27;38;02;05
2020-08-14;09;23;32;33;45;02;08
2020-08-21;07;11;17;34;38;02;10
2020-08-28;03;06;30;39;49;02;04
2020-09-04;07;12;19;24;39;05;09
2020-09-11;04;15;21;36;46;04;10
2020-09-18;11;13;28;31;32;03;08
2020-09-25;06;13;22;33;47;05;09
2020-10-02;04;08;22;25;36;05;10
2020-10-09;03;09;18;23;33;01;04
2020-10-16;09;11;17;24;31;01;02
2020-10-23;03;15;28;39;41;03;06
2020-10-30;02;12;23;25;34;01;02
2020-11-06;14;19;22;30;41;04;07
2020-11-13;08;10;28;37;47;03;05
2020-11-20;07;16;22;42;44;03;05
2020-11-27;07;12;29;34;43;05;08
2020-12-04;05;08;14;21;49;03;08
2020-12-11;06;17;28;34;41;03;08
2020-12-18;02;05;11;17;34;04;10
2021-01-08;05;08;21;34;42;03;06
2021-01-15;03;09;12;35;41;03;07
2021-01-22;10;18;22;32;44;03;07
2021-01-29;02;07;20;33;46;02;08
2021-02-05;04;11;26;37;49;01;04
2021-02-12;11;15;28;31;39;05;08
2021-02-19;01;06;19;25;43;04;09
2021-02-26;09;13;23;36;41;02;06
2021-03-05;03;12;22;30;45;03;10
